DeptID,DeptName,Parent id,
1001,Gubernur,0,
1002,Wakil Gubernur,1001,
1,Sekretaris Daerah,1001,
2,Biro Pemerintahan,1,
161,Bagian Bina Pertanahan,2,
401,Subbag Pengawasan dan Pengendalian Pertanahan,161,
402,Subbag Fasilitasi Tanah Bermasalah,161,
403,Subbag Tata Usaha Biro,161,
162,Bagian Otonomi Daerah,2,
404,Subbag Penataan Daerah,162,
405,Subbag Fasilitasi Kepala Daerah dan DPRD,162,
406,Subbag Peningkatan Kapasitas Daerah,162,
163,Bagian Bina Administrasi Kewilayahan,2,
407,Subbag Pembinaan Wilayah,163,
408,"Subbag Fasilitasi Kebijakan Ketentraman Ketertiban, Perlindungan Masyarakat dan Kebencanaan",163,
409,Subbag Dekonsentrasi dan Tugas Pembantuan,163,
164,Kelompok Jabatan Fungsional Biro Pemerintahan,2,
410,PTT,2,
3,Biro Hukum,1,
165,Bagian Perundang-Undangan,3,
411,Subbag Rancangan Peraturan Daerah,165,
412,Subbag Rancangan Peraturan Kepala Daerah,165,
413,Subbag Rancangan Ketetapan,165,
166,Bagian Bantuan Hukum dan Ham,3,
414,Subbag Sengketa Hukum,166,
415,Subbag Penyusunan Naskah Perjanjian,166,
416,Subbag HAM dan HAKI,166,
167,Bagian Pembinaan Hukum,3,
417,Subbag Penyuluhan Hukum,167,
418,Subbag Dokumentasi Hukum,167,
419,Subbag Tata Usaha Biro,167,
168,Kelompok Jabatan Fungsional Biro Hukum,3,
420,PTT,3,
4,Biro Kesejahteraan Rakyat,1,
169,Bagian Keagamaan,4,
421,Subbag Bagian Pembinaan Keagamaan dan Kerukunan Umat Beragama,169,
422,Subbag Sarana dan Prasarana Keagamaan,169,
423,Subbag Pendidikan Keagamaan,169,
170,Bagian Kesejahteraan sosial,4,
424,Subbag Kesehatan dan Pengendalian Penduduk,170,
425,"Subbag sosial, Pemberdayaan Perempuan dan Perlindungan Anak",170,
426,"Subbag Tenaga Kerja, Transmigrasi dan Pemberdayaan Masyarakat",170,
171,"Bagian Pendidikan, Kebudayaan, Kepemudaan dan Olahraga",4,
427,Subbag Pendidikan dan Kebudayaan,171,
428,Subbag Kepemudaan dan Olahraga,171,
429,Subbag Tata Usaha,171,
172,Kelompok Jabatan Fungsional Biro Kesra,4,
430,PTT,4,
5,Biro Administrasi Perekonomian,1,
173,Bagian Produksi Daerah,5,
431,Subbag Pertambangan dan Energi ,173,
432,"Subbag Pertanian, Kehutanan, Kelautan dan Perikanan ",173,
433,Subbag Perdagangan dan Perindustrian ,173,
174,"Bagian Penanaman Modal, BUMN dan Lembaga Keungan ",5,
434,Subbag Penanaman Modal dan Promosi ,174,
435,Subbag Badan Usaha Milik Daerah ,174,
436,"Subbag Lemabaga Keuangan, Koperasi dan Usaha Kecil Menengah ",174,
175,Bagian Pengembangan Perekonomian,5,
437,Subbag Data dan Statistik Perekonomian ,175,
438,Subbag Periwisata dan Perhubungan ,175,
439,Subbag Tata Usaha Biro ,175,
176,Kelompok Jabatan Fungsional Biro Perekonomian,5,
440,PTT,5,
6,Biro Bina Adm Pengendalian Pembangunan dan LPBJP,1,
177,Bagian Program dan Sekretariat LPBJP,6,
441,Subbag Program dan Pelaporan ,177,
442,Subbag Pelayanan ,177,
443,Subbag Tata Usaha ,177,
178,"Bagian Administrasi Pembangunan  Ekonomi, Sosial, Budaya dan Kesejateraan Rakyat",6,
444,Subbag Pembangunan Ekonomi ,178,
445,Subbag Pembengunan Sosial Budaya ,178,
446,Subbag Pembangunan Kesejahteraan Rakyat ,178,
179,Bagian Administrasi Pembangunan Pembangunan Infrastuktur dan Tata Ruang,6,
447,Subbag Pembengunan Perumahann dan Kawasan Pemukiman ,179,
448,Subbag Pembangunan Sumber Daya Air dan Lingkungan Hidup ,179,
449,Subbag Pembangunan Perhubungan Dan Tata Ruang,179,
180,Kelompok Jabatan Fungsional Biro APLPBJP,6,
450,PTT,6,
7,Biro Organisasi,1,
181,Bagian Kelembagaan,7,
451,Subbag Analisis Kelembagaan ,181,
452,Subbag Fasilitas dan Monitoring dan Evaluasi Kelembagaan ,181,
453,Subbag Analisis Kelembagaan UPT Daerah dan Fasilitas Kelembagaan Pusat,181,
182,Bagian Tatalaksana dan Reformasi Birokrasi,7,
454,Subbag Standarisasi dan Budaya Kerja ,182,
455,Subbag Akuntabilitas dan Evaluasi Kinerja ,182,
456,Subbag Reformasi Birokrasi dan Pelayanan Publik ,182,
183,Bagian Analisis Formasi Jabatan dan Sumber Daya Aparatur ,7,
457,Subbag Analisis dan Evaluasi Jabatan ,183,
458,Subbag sumber Daya Aparatur ,183,
459,Subbag Tata Usaha ,183,
184,kelompok jabatan fungsional biro organisasi ,7,
460,PTT,7,
8,Biro Umum,1,
185,Bagian Kesekretariatan dan Rumah Tangga,8,
461,Subbag Rumah tangga Pimpinan,185,
462,Subbag Arsip dan ekspedisi,185,
463,"Subbag tata Usaha, kepegawaian dan Perjalanan",185,
464,"Subbag Tata Usaha sekda, Asisten dan Staf Ahli Gub",185,
186,Bagian Adm keuangan sekda,8,
465,Subbag perencanaan,186,
466,Subbag Penatausahaan Keuangan,186,
467,Subbag akuntasi dan Pelaporan,186,
187,Bagian Sarana Prasarana Sekda dan Rumah Jabatan,8,
468,Subbag Sarana Perkantoran,187,
469,Subbag Prasarana Perkantoran,187,
470,Subbag Sarana Prasarana Rumah Jabatan,187,
188,kelompok jabatan fungsional biro Umum ,8,
43,Staf Ahli Bidang hukum dan Politik,8,
44,Staf Ahli Bidang Pemerintahan,8,
45,Staf Ahli Bidang Pembangunan,8,
46,Staf Ahli Bidang Kemasyarakatan dan Sumber Daya manusia,8,
47,Staf Ahli Bidang ekonomi dan Keuangan,8,
48,Asisten 1 – Pemerintahan dan Kesejahteraan Rakyat,8,
49,Asisten 2 – Perekonomian dan Pembangunan,8,
50,Asisten 3 – Administrasi Umum,8,
471,PTT,8,
9,Biro Humas dan Protokol,1,
189,Bagian Pemeritaan,9,
472,Subbag hubungan Media,189,
473,Subbag Pengelolaan Data dan Naskah Pimpinan,189,
474,Subbag Peliputan,189,
190,Bagian Dokumentasi,9,
475,Subbag Pengelolaan Dokumen dan Perpustakaan,190,
476,Subbag Produksi,190,
477,Subbag Tata Usaha,190,
191,Bagian Protokol,9,
478,Subbag Tata Usaha Pimpinan,191,
479,Subbag Tamu Daerah,191,
480,Subbag Acara,191,
192,Kelompok Jabatan Fungsional Biro Humas,9,
481,PTT,9,
10,Sekretariat DPRD,1,
193,Bagian Persidangan dan Perundang-undangan,10,
482,Subbag Rapat dan Risalaha,193,
483,Subbag Alat Kelengkapan Dewan dan Fraksi,193,
484,"Subbag Perundang-undangan, Dokumentasi dan perpustakaan",193,
194,Bagian Umum dan Humas ,10,
485,Subbag urusan dalam dan pengamanan dalam ,194,
486,"Subbag humas, protokol dan perjalanan ",194,
487,Subbag tata usaha ,194,
195,Bagian keuangan terdiri dari : ,10,
488,Subbag perencanaan ,195,
489,Subbag tata usaha keuangan ,195,
490,Subbag verifikasi dan pembukuan ,195,
196,kelompok jabatan fungsioanal Sekretariat DPRD,10,
491,PTT,10,
11,Inspektorat provinsi ,1,
197,Sekretariat,11,
492,Subbag Program ,197,
493,Subbag Analisa dan Evaluasi Hasil Pengawasan ,197,
494,Subbag Umum dan Keuangan ,197,
198,Inspektur pembantu I ,11,
199,Inspektur pemabantu II,11,
200,Inspektur Pembantu III,11,
201,Inspektur pembantu Khusus ,11,
202,kelompok jabatan fungsional Inspektorat,11,
495,PTT,11,
12,Dinas Pendidikan dan Kebudayaan,1,
203,Sekretariat,12,
496,Subbag program dan Keuanagn,203,
497,Subbag Umum dan Keuangan ,203,
498,Subbag Penyelenggaraan Tugas Pembantuan,203,
204,Bagian Pembinaan sekolah menengah Atas,12,
499,seksi kurikulum sekolah menengah atas ,204,
500,seksi Peserta Didik Sekolah menengah Atas,204,
501,seksi kelembagaan dan sarana prasarana sekolah menengah atas ,204,
205,bidang pembinaan sekoalh menengah kejuruan terdiri dari : ,12,
502,seksi kurikulum sekolah menengah kejuruan ,205,
503,seksi peserta didik sekoalh menengah kejuruan dan ,205,
504,seksi kelembagaan dan sarana prasarana sekolah menengah kejuruan ,205,
206,bidang pembinaan pendidikan khusus dan pendidikan layanan khusus terdiri dari: ,12,
505,seksi kurikulum pendidikan khusus dan pendidikan layanan khusus,206,
506,seksi peserta didik dan pembangunan karakater pendidikan khusus dan pendidkan layanan  khusus, dan ,206
507,seksi kelembagaan dan sarana prasarana pendidikan khusus dan pendidiakn khusus ,206,
207,bidang pembinaan ketenagaan ,12,
508,seksi guru dan ketengaan pendidikan sekolah menengah atas dan pendidikan khusus ,207,
509,seksi guru dan tenaga kependidikan sekolah menengah kejuruan , dan ,207
510,seksi tenaga kebudayaan ,207,
208,"bidang pembinaan kebudayaan, terdiri dari ",12,
511,seksi cagar budaya dan museum ,208,
512,seksi sejarah dan tradisi ,208,
513,seksi kesenian ,208,
209,kelompok pejabat fungsional dinas pendidikan dan kebudayaan ,12,
61,UPTD Balai Teknologi Informasi dan komunikasi Pendidikan,1,
62,UPTD Taman Budaya Sasambo,1,
63,UPTD museum Negeri,1,
64,"UPTD Layanan Pendidikan Menengah dan Pendidikan Khusus, Pendidikan Layanan Khusus Bima",1,
65,"UPTD Layanan Pendidikan Menengah dan Pendidikan Khusus, Pendidikan Layanan Khusus Dompu",1,
66,"UPTD Layanan Pendidikan Menengah dan Pendidikan Khusus, Pendidikan Layanan Khusus Sumbawa",1,
67,"UPTD Layanan Pendidikan Menengah dan Pendidikan Khusus, Pendidikan Layanan Khusus Sumbawa Barat",1,
68,"UPTD Layanan Pendidikan Menengah dan Pendidikan Khusus, Pendidikan Layanan Khusus Lombok Timur",1,
69,"UPTD Layanan Pendidikan Menengah dan Pendidikan Khusus, Pendidikan Layanan Khusus Lombok Tengah",1,
70,"UPTD Layanan Pendidikan Menengah dan Pendidikan Khusus, Pendidikan Layanan Khusus Lombok Barat dan Mataram",1,
71,"UPTD Layanan Pendidikan Menengah dan Pendidikan Khusus, Pendidikan Layanan Khusus Lombok Utara",1,
514,PTT,12,
13,Dinas Kesehatan,1,
210,Sekretariat,13,
515,Subbag Program ,210,
516,Subbag Keuangan ,210,
517,Subbag Umum ,210,
211,Bidang kesehatan masyarakat,13,
518,Seksi kesehatan keluarga ,211,
519,Seksi gizi masyarakat ,211,
520,Seksi Promosi kesehatan dan Pemberdayaan masyarakat ,211,
212,"Bidang pencegahan, pengendalian penyakit dan kesehatan lingkungan",13,
521,"Seksi survellans epidemiologi, imunisasi dan kesehatan bencana ",212,
522,Seksi pencegahan dan pengendalian penyakit, dan ,212
523,Seksi kesehatan lingkungan ,212,
213,Bidang pelayanan kesehatan,13,
524,Seksi pelayanan kesehatan primer dan kesehatan tradisional ,213,
525,Seksi pelayanan kesehatan rujukan ,213,
526,Seksi sakreditasi dan jaminan kesehatan ,213,
214,Bidang sumberdaya kesehatan,13,
527,"Seksi kefarmasian, makanan, minuman dan alat kesehatan ",214,
528,Seksi pengembangan sumberdaya manusia kesehatan ,214,
529,"Seksi data, informasi, penelitian dan pengembangan kesehatan ",214,
215,Kelompok jabatan fungsional Dikes,13,
72,UPTD Balai Laboratorium Kesehatan Pengujian dan Kalibrasi,1,
73,UPTD Balai Kesehatan Mata Mataram,1,
74,UPTD Akademi Perawat Kesehatan,1,
75,UPTD Balai Pelatihan Kesehatan,1,
530,PTT,13,
14,Dinas Pekerjaan Umum dan Penataan Ruang,1,
216,Sekertariat,14,
531,Subbag Program ,216,
532,Subbag Keuangan,216,
533,Subbag Umum ,216,
217,Bidang Sumberdaya Air,14,
534,Seksi perencanaan teknis sumber daya air ,217,
535,Sumber pemanfaatan sumberdaya air,217,
536,Seksi konservasi sumber daya air ,217,
218,Bidang Bina Marga,14,
537,Seksi perencanaan teknis jalan ,218,
538,Seksi pembangunan jalan,218,
539,Seksi pembinaan teknik jalan ,218,
219,Bidang Cipta Karya,14,
540,Seksi perencanaan teknis ,219,
541,Seksi air Bersih dan penyehatan lingkungan ,219,
542,Seksi tata banguna dan permukiman ,219,
220,Bidang pengembangan infrastruktur wilayah ,14,
543,Seksi pengembangan keterpaduan antar kawasan ,220,
544,Seksi pengembangan keterpaduan antar sektor,220,
545,Seksi pengembangan keterpaduan infrastruktur ,220,
221,Bidang Tata Ruang,14,
546,Seksi perencanaan tata ruang ,221,
547,Seksi pemanfaatan ruang,221,
548,Seksi pengendalian pemanfaatan ruang ,221,
222,Bidang Bina Konstruksi,14,
549,Seksi pengaturan ,222,
550,Seksi pemeberdayaan jasa konstruksi,222,
551,Seksi pengawasan jasa konstruksi ,222,
223,Kelompok Jabatan Fungsional PUPR,14,
76,Balai pengujian material konstruksi ,1,
77,Balai pengelolaan sumber daya air dan hidrologi wilayah sungai pulau lombok ,1,
78,Balai pengelolaan sumber daya Air dan hidrologi wilayah sungai pulau sumbawa ,1,
79,Balai pemeliharaan jalan provinsi wilayah pulau lombok ,1,
80,Balai pemeliharaan jalan provinsi wilayah pulau sumbawa ,1,
81,Balai informasi infrastruktur wilayah,1,
552,PTT,14,
15,Dinas Perumahan dan Permukiman,1,
224,Sekertariat ,15,
553,Subbag program dan keuangan ,224,
554,Subbag Umum,224,
225,Bidang Perumahan,15,
555,Seksi perencanaan teknis perumahan ,225,
556,Seksi perumahan formal ,225,
557,Seksi perumahan swadaya ,225,
226,Bidang pemukiman,15,
558,Seksi perencanaan pemukiman ,226,
559,Seksi penataan kawsan kumuh ,226,
560,Seksi prasarana sarana dan utilitas ,226,
227,Bidang Bina Usaha Perumahan dan Pemukiman,15,
561,Seksi pengendalian dan Pengawasan,227,
562,Seksi Penelitian dan Pengembangan,227,
563,Seksi Kerjasama Pembangunan Perumahan dan Permukiman,227,
228,Kelompok Jabatan Fungsional Dinas PP,15,
564,PTT,15,
16,Dinas Sosial,1,
229,Sekretariat,16,
565,Subbag program ,229,
566,Subbag Keuangan,229,
567,Subbag Umum,229,
230,Bidang perlindungan dan jaminan sosial,16,
568,Seksi perlindungan sosial korban bencana alam ,230,
569,Seksi perlindungan sosial korban bencana sosial dan ,230,
570,Seksi jaminan sosial keluarga ,230,
231,Bidang pemeberdayaan sosial ,16,
571,"Seksi pemeberdayaan sosiala perseorangan, keluarga, masyarakat, dan kelembagaan sosial ",231,
572,Seksi pemberdayaan pengelolaan sumber dan dan bantuan sosial ,231,
573,Seksi kepahlawanan dan penyuluhan sosial ,231,
232,Bidang rehabilitas sosial,16,
574,Seksi rehabilitas sosial penyandang disabilitas dan korban napza ,232,
575,Seksi rahabilitas sosial tuna sosial dan korban peradangan orang ,232,
576,Seksi rehabilitas sosial anak dan lanjut usia ,232,
233,Bidang penangan fakir miskin ,16,
577,Seksi penanganan fakir miskin perkotaan ,233,
578,Seksi penanganan fakir miskin predesaan dan ,233,
579,Seksi penanganan fakir miskin peisisir dan pualau -pulau kecil ,233,
234,Kelompok jabatan fungsional ,16,
82,"Balai sosial asuhan anak ""Generasi Harapan""",1,
83,"Balai sosial perlindungan petiran anak ""Sasambo Matupa""",1,
84,"Balai sosial bina remaja "" Karya Mandiri """,1,
85,"Balai sosial karya wanita "" Mirah Adi""",1,
86,"Balai sosial bina laras "" Mutmainah"" ",1,
87,"Balai sosial bina karya "" Madani"" ",1,
88,"Balai sosial bina karya "" Mandalika"" ",1,
89,"Balai sosial lanjut usia "" Meci Angi"" ",1,
580,PTT,16,
17,Dinas Tenaga Kerja dan Transmigrasi,1,
235,Sekretariat,17,
581,Subbag Program,235,
582,subbag Keuangan,235,
583,Subbag Umum,235,
236,Bidang Penempatan dan Perluasan Kerja,17,
584,Seksi informasi pasar kerja ,236,
585,Seksi penempatan tenaga kerja dan pembina tenaga kerja asing,236,
586,Seksi perlauasan kesempatan kerja ,236,
237,Bidang pelatihan dan produktivitas tenaga kerja,17,
587,Seksi pembinaan instruktur dan kelembagaan ,237,
588,Seksi pemagangan,237,
589,Seksi pembinaan pelatihan dan produktivitas tenaga kerja ,237,
238,Bidang pembinaan hubungan industri dan jaminan sosial tenaga kerja,17,
590,"Seksi syarat kerja, kelembagaan dan kerja sama hubungan industrial ",238,
591,Seksi pengupahan dan jamimnan sosial tenaga kerja ,238,
592,Seksi penecegahan dan penyelesaian pesrselisihan hubungan industrial ,238,
239,Bidang pembinaan pengawasan ketenaga kerjaan,17,
593,Seksi norma ketenagakerjaan ,239,
594,Seksi keselamatan dan kesehatan kerja ,239,
595,Seksi pemeberdayaan pengawasan dan penegakan hukum ,239,
240,Bidang ketransmigrasian,17,
596,Seksi penyedian areal dan pembinaan penegakan transmigrasi ,240,
597,Seksi perpindahan dan penempatan transmigrasi ,240,
598,Seksi pembinaan dan pengembangan kawasan transmigrasi ,240,
241,Kelompok jabatan fungsional ,17,
90,Balai Latihan Kerja NTB,1,
91,"Balai Hygene Perusahaan, Kesehatan dan Keselamatan Kerja",1,
92,Balai Latihan Masyarakat dan Transmigrasi,1,
93,Balai Pengawasan ketenagakerjaan Pulau Lombok,1,
94,Balai Pengawasan ketenagakerjaan Pulau Sumbawa,1,
599,PTT,17,
18,"Dinas Pemberdayaan Masyarakat, Pemerintahan Desa, Kependudukan dan Catatan Sipil",1,
242,Sekertariat,18,
600,Subbag Program,242,
601,subbag Keuangan,242,
602,Subbag Umum,242,
243,Bidang kelembagaan dan sosial budaya,18,
603,Seksi sosial budaya masyarakat ,243,
604,Seksi kelembagaan masyarakat desa ,243,
605,Seksi pengembangan kapasitas dan informasi desa ,243,
244,Bidang pemerintahan desa,18,
606,Seksi pengembangan kapasitas aparatur pemerintah desa dan bpd ,244,
607,Seksi penataan desa dan kelembagaan pemerintahan desa ,244,
608,Seksi evalluasi perekembangan desa dan kelurahan ,244,
245,Bidang pengelolaan sumber daya alam dan teknologi tepat guna,18,
609,Seksi pengelolaan sumber daya alam ,245,
610,Seksi teknologi tepat guna ,245,
611,Sekdi sarana dan prasarana ,245,
246,Bidang usaha ekonomi masyrakat,18,
612,Seksi ekonomi  masyarakat dan kelompok msyarakat ,246,
613,Seksi pengembangan produksi dan pemasaran ,246,
614,Seksi kerja sama antar desa ,246,
247,Bidang kependudukan dan catatan sipil,18,
615,Seksi kependudukan ,247,
616,Seksi catatn sipil dan ,247,
617,Seksi informasi administrasi kependudukan ,247,
248,Kelompok jabatan fungsional ,18,
618,PTT,18,
19,"Dinas pemberdayaan Perempuan, Perlindungan anak, Pengendalian Penduduk dan Keluarga Berencana",1,
249,Sekretariat,19,
619,Subbag Program,249,
620,Subbag Keuangan ,249,
621,Subbag Umum ,249,
250,Bidang kesetaraan gender dan kualitas keluarga,19,
622,Seksi ekonomi ,250,
623,"Seksi pendidikan, kesehatan, pembangaunan kelauarga",250,
624,"Seksi politik, hukum, pertahanan keamanan, lingkungan, data dan informasi ",250,
251,Bidang perlindungan hak perempuan,19,
625,Seksi perlindungan tindak kekerasan ,251,
626,Seksi perlindungan situasi khusus dan darurat,251,
627,Seksi penguatan kelembagaan dan perlindungan ,251,
252,Bidang pemenuhan hak anak,19,
628,Seksi pemenuhan hak anak ,252,
629,Seksi perlindungan anak dari kekerasan dan eksploitasi,252,
630,Seksi perlindungan anak dalam sistuasi khusus dan darurat ,252,
253,Bidang pengendalian penduduk dan keluarga berencana,19,
631,Seksi pengendalian penduduk ,253,
632,Seksi kelaurga berencana dan kesehatan reproduksi,253,
633,Seksi kelaarga sejahtera ,253,
254,Kelompok jabatan fungsional BP5KB,19,
634,PTT,19,
20,Dinas Ketahanan Pangan,1,
255,Sekretariat,20,
635,Subbag Program ,255,
636,Subbag Keuangan ,255,
637,Subbag Umum ,255,
256,Bidang ketersediaan dan kerawanan pangan,20,
638,Seksi ketersediaan pangan,256,
639,Seksi kerawanan pangan ,256,
257,Bidang distribusi dan cadangan pangan,20,
640,Seksi ditribusi pangan,257,
641,Seksi Cadangan pangan ,257,
258,Bidang konsumsi dan keamanan pangan,20,
642,Seksi konsumsi pangan,258,
643,Seksi keamanan pangan ,258,
259,Kelompok jabatan Fungsional DKP,20,
95,UPTD Balai Sertifikasi Mutu Pangan,1,
644,PTT,20,
21,Dinas Lingkungan Hidup dan Kehutanan,1,
260,Sekretariat,21,
645,Subbag Program ,260,
646,Subbag Keuangan ,260,
647,Subbag Umum,260,
261,Bidang analisis dan penegndalian lingkungan,21,
648,Seksi analisis dampak lingkungan ,261,
649,Seksi penegendalian pencemaran,261,
650,Seksi kerusakan lingkungan ,261,
262,Bidang penataan dan penegelolaan llingkungan,21,
651,Seksi penataan lingkungan ,262,
652,Seksi peningkatan kapasitas lingkungan hidup,262,
653,Seksi pengelolaan Sampah dan Limbah B3 ,262,
263,Bidang pengelolan hutan,21,
654,Seksi perencanaan dan tata hutan ,263,
655,Seksi usaha kehutanan ,263,
656,"Seksi pengolahan, pemasaran dan iuran ",263,
264,"Bidang perlindungan hutan, konservasi sumber daya alam dan ekosistem",21,
657,Seksi pencegahan dan pengamanan hutan ,264,
658,Seksi penegakan hukum ,264,
659,Seksi keonservasi dan pelestarian Sumber daya Alam dan ekosistem ,264,
265,Bidang rehabilitas dan pemberdayaan masyarakat,21,
660,Seksi rehabilitas hutan dan lahan ,265,
661,Seksi pengelolaan daerah aliran sungai,265,
662,Seksi pemberdayaan dan penyuluhan ,265,
266,Kelompok jabatan Fungsional ,21,
96,Balai laboraturium lingkungan ,1,
97,Balai taman hutan raya nuraksa ,1,
98,KPH Rinjani barat pelanggan tastura ,1,
99,KPH Rinjani timur ,1,
100,KPH Sejorong mataiyang brangrea ,1,
101,KPH Pucak ngengas batulante ,1,
102,KPH Orang teluh balang beh ,1,
103,KPH Ropang ,1,
104,KPH Ampang plampang ,1,
105,KPH Tambora ,1,
106,KPH Ampang riwo soromandi ,1,
107,KPH toffo pajo madapangga rompo waworada ,1,
108,KPH Maria donggomasa ,1,
663,PTT,21,
22,Dinas Perhubungan,1,
267,Sekretariat,22,
664,Subbag Program ,267,
665,Subbag Keuangan ,267,
666,Subbag Umum ,267,
